City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Osinki,RU,52.8432,49.5132,77.18,35,83,9.31,broken clouds
80,Mount Gambier,AU,-37.8333,140.7667,57.11,77,90,18.41,overcast clouds
81,Port Hardy,CA,50.6996,-127.4199,53.6,100,40,2.3,scattered clouds
82,Jizan,SA,17.3333,42.6667,94.14,62,100,11.36,overcast clouds
83,Mangrol,IN,21.1167,70.1167,82.31,84,100,23.78,moderate rain
84,Mahebourg,MU,-20.4081,57.7,69.26,83,75,10.36,moderate rain
85,Naples,IT,40.8333,14.25,93.58,42,0,3.0,clear sky
86,Hithadhoo,MV,-0.6,73.0833,81.16,78,94,6.42,heavy intensity rain
87,Namibe,AO,-15.1961,12.1522,75.96,53,0,10.69,clear sky
88,New Norfolk,AU,-42.7826,147.0587,56.91,58,100,5.99,overcast clouds
89,Norsup,VU,-16.0667,167.3833,76.48,82,100,15.68,overcast clouds
90,Newton,US,42.337,-71.2092,84.54,58,1,3.0,haze
91,Katsuura,JP,35.1333,140.3,83.1,76,58,7.23,broken clouds
92,Sergeyevka,KZ,53.88,67.4158,65.61,53,95,7.38,overcast clouds
93,Rawson,AR,-43.3002,-65.1023,44.42,61,28,28.1,scattered clouds
94,Burnie,AU,-41.0667,145.9167,57.92,76,100,24.4,overcast clouds
95,Vagur,FO,61.4732,-6.8119,51.91,97,94,13.73,overcast clouds
96,Hofn,IS,64.2539,-15.2082,55.0,78,100,5.32,overcast clouds
97,Madang,PG,-5.2246,145.7966,77.5,90,37,3.74,scattered clouds
98,Vostok,RU,46.4856,135.8833,73.8,77,99,3.53,overcast clouds
99,Samarai,PG,-10.6167,150.6667,78.3,86,94,11.45,overcast clouds
100,Cap-Aux-Meules,CA,47.3821,-61.8597,68.05,88,90,10.36,overcast clouds
101,Huarmey,PE,-10.0681,-78.1522,67.15,80,38,6.53,scattered clouds
102,Namatanai,PG,-3.6667,152.4333,79.14,82,36,6.76,light rain
103,Lubango,AO,-14.9172,13.4925,71.46,13,0,6.91,clear sky
104,Zapolyarnyy,RU,69.4154,30.8136,70.88,63,100,5.28,overcast clouds
105,Mayahi,NE,13.9553,7.6712,89.31,45,100,6.82,overcast clouds
106,Merauke,ID,-8.4667,140.3333,77.07,82,99,12.62,overcast clouds
107,Caldwell,US,43.6629,-116.6874,79.47,69,1,5.75,clear sky
108,San Policarpo,PH,12.1791,125.5072,82.62,76,100,8.43,moderate rain
109,Gorlice,PL,49.6556,21.1604,80.74,100,98,6.29,overcast clouds
110,Kodiak,US,57.79,-152.4072,47.71,81,1,5.75,clear sky
111,Cabra,ES,37.4725,-4.4421,96.24,31,0,3.0,clear sky
112,Ahipara,NZ,-35.1667,173.1667,54.81,74,3,11.81,clear sky
113,Bredasdorp,ZA,-34.5322,20.0403,67.32,42,4,18.41,clear sky
114,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.55,78,36,9.8,scattered clouds
115,Hirara,JP,24.8,125.2833,82.04,89,100,11.25,overcast clouds
116,The Pas,CA,53.8251,-101.2541,69.82,60,1,6.04,haze
117,Martuni,AM,40.1377,45.3045,76.57,45,21,8.93,few clouds
118,Iqaluit,CA,63.7506,-68.5145,51.53,66,75,8.99,broken clouds
119,Lompoc,US,34.6391,-120.4579,62.56,92,90,0.0,mist
120,Flinders,AU,-34.5833,150.8552,55.2,70,100,1.01,overcast clouds
121,Skjervoy,NO,70.0311,20.9714,59.18,95,86,4.63,overcast clouds
122,Constitucion,CL,-35.3333,-72.4167,46.17,57,0,8.86,clear sky
123,Saldanha,ZA,-33.0117,17.9442,60.85,81,100,17.83,overcast clouds
124,Bilma,NE,18.6853,12.9164,101.88,24,17,3.62,few clouds
125,Tasiilaq,GL,65.6145,-37.6368,44.76,85,39,4.23,scattered clouds
126,Oyonnax,FR,46.2592,5.6573,78.33,61,100,7.63,overcast clouds
127,Candelaria,PH,13.9311,121.4233,84.38,87,100,6.29,overcast clouds
128,Ponta Do Sol,PT,32.6667,-17.1,80.71,68,0,1.66,clear sky
129,Bengkulu,ID,-3.8004,102.2655,77.72,80,1,6.89,clear sky
130,Viedma,AR,-40.8135,-62.9967,46.87,53,50,26.49,scattered clouds
131,Butaritari,KI,3.0707,172.7902,81.68,75,100,9.6,moderate rain
132,Upernavik,GL,72.7868,-56.1549,45.64,88,100,8.37,overcast clouds
133,Havelock,US,34.8791,-76.9013,87.06,84,1,4.0,clear sky
134,Vanimo,PG,-2.6741,141.3028,78.82,90,72,6.58,broken clouds
135,Jieshi,CN,22.8134,115.8257,86.95,80,88,13.82,overcast clouds
136,Bubaque,GW,11.2833,-15.8333,80.82,78,13,5.48,few clouds
